ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,127.41271995942,-404.9689106171573,626.9970310735222,127.41271995942,127.41271995942,-36.836918504550425,-36.836918504550425,-36.836918504550425,0.0,0.0,0.0,-21.41854947684674,-21.41854947684674,-21.41854947684674,0.0,0.0,0.0,39.15006383114467,39.15006383114467,39.15006383114467,-54.56843285884837,-54.56843285884837,-54.56843285884837,0.0,0.0,0.0,90.57580145486958
2014-01-04,127.50241493072853,-472.9152157446347,606.3747190502461,127.50241493072853,127.50241493072853,-45.88574473852041,-45.88574473852041,-45.88574473852041,0.0,0.0,0.0,17.658616552796968,17.658616552796968,17.658616552796968,0.0,0.0,0.0,0.04728527839689658,0.04728527839689658,0.04728527839689658,-63.591646569714285,-63.591646569714285,-63.591646569714285,0.0,0.0,0.0,81.61667019220812
2014-01-05,127.59210990203707,-421.1024062612684,635.0773940141897,127.59210990203707,127.59210990203707,-20.33860092090609,-20.33860092090609,-20.33860092090609,0.0,0.0,0.0,34.374109661133446,34.374109661133446,34.374109661133446,0.0,0.0,0.0,17.08916910312249,17.08916910312249,17.08916910312249,-71.80187968516204,-71.80187968516204,-71.80187968516204,0.0,0.0,0.0,107.25350898113098
2014-01-06,127.6818048733456,-427.92132842144895,631.1530928824601,127.6818048733456,127.6818048733456,-16.09815808041032,-16.09815808041032,-16.09815808041032,0.0,0.0,0.0,12.3065701614483,12.3065701614483,12.3065701614483,0.0,0.0,0.0,50.7136970639874,50.7136970639874,50.7136970639874,-79.11842530584602,-79.11842530584602,-79.11842530584602,0.0,0.0,0.0,111.58364679293527
2014-01-07,127.77149984465413,-609.4994691067405,482.93899175602746,127.77149984465413,127.77149984465413,-183.93052824403858,-183.93052824403858,-183.93052824403858,0.0,0.0,0.0,-31.566288839323345,-31.566288839323345,-31.566288839323345,0.0,0.0,0.0,-66.8897409459559,-66.8897409459559,-66.8897409459559,-85.47449845875934,-85.47449845875934,-85.47449845875934,0.0,0.0,0.0,-56.159028399384454
2014-01-09,127.95088978727121,-585.6554131603638,510.3546801036256,127.95088978727121,127.95088978727121,-155.47994504919313,-155.47994504919313,-155.47994504919313,0.0,0.0,0.0,-70.26601353145841,-70.26601353145841,-70.26601353145841,0.0,0.0,0.0,9.902025659321424,9.902025659321424,9.902025659321424,-95.1159571770561,-95.1159571770561,-95.1159571770561,0.0,0.0,0.0,-27.529055261921926
2014-01-10,128.04058475857974,-522.4060782965425,526.2183855525626,128.04058475857974,128.04058475857974,-111.9309788217883,-111.9309788217883,-111.9309788217883,0.0,0.0,0.0,-52.73228554834039,-52.73228554834039,-52.73228554834039,0.0,0.0,0.0,39.15006383116778,39.15006383116778,39.15006383116778,-98.34875710461566,-98.34875710461566,-98.34875710461566,0.0,0.0,0.0,16.10960593679144
2014-01-11,128.13027972988826,-506.5059994696419,535.1674080064288,128.13027972988826,128.13027972988826,-132.55272205313557,-132.55272205313557,-132.55272205313557,0.0,0.0,0.0,-32.082761209591474,-32.082761209591474,-32.082761209591474,0.0,0.0,0.0,0.04728527829692809,0.04728527829692809,0.04728527829692809,-100.51724612184101,-100.51724612184101,-100.51724612184101,0.0,0.0,0.0,-4.42244232324731
2014-01-13,128.30966967250532,-444.22377369932013,571.0484123548366,128.30966967250532,128.30966967250532,-62.581206783534626,-62.581206783534626,-62.581206783534626,0.0,0.0,0.0,-11.54318569017503,-11.54318569017503,-11.54318569017503,0.0,0.0,0.0,50.71369706396154,50.71369706396154,50.71369706396154,-101.75171815732115,-101.75171815732115,-101.75171815732115,0.0,0.0,0.0,65.7284628889707
2014-01-14,128.39936464381384,-487.55931892494476,496.16671632774205,128.39936464381384,128.39936464381384,-165.19787902538422,-165.19787902538422,-165.19787902538422,0.0,0.0,0.0,2.5986720734786135,2.5986720734786135,2.5986720734786135,0.0,0.0,0.0,-66.88974094601626,-66.88974094601626,-66.88974094601626,-100.90681015284659,-100.90681015284659,-100.90681015284659,0.0,0.0,0.0,-36.798514381570385
